Product_item_no,Product_mfr_no,Product_name,Product_packsize,Product_price,Product_url,Product_value,Product_wght
S20055,5.05,Reagecon Sodium Hydroxide 0.05M (0.05N) Analytical Volumetric Solution (AVL),5L,"€ 79,73",https://www.reagecon.com/avl_sodiumhydroxide/reagecon-sodium-hydroxide-0-05m-0-05n-analytical-s20055?returnurl=%2favl_sodiumhydroxide%2f,0.05M (0.05N),5.05
S20025,5.05,Reagecon Sodium Hydroxide 0.02M (0.02N) Analytical Volumetric Solution (AVL),5L,"€ 37,17",https://www.reagecon.com/avl_sodiumhydroxide/reagecon-sodium-hydroxide-0-02m-0-02n-analytical-s20025?returnurl=%2favl_sodiumhydroxide%2f,0.02M (0.02N),5.05
S20015,5.05,Reagecon Sodium Hydroxide 0.01M (0.01N) Analytical Volumetric Solution (AVL),5L,"€ 111,41",https://www.reagecon.com/avl_sodiumhydroxide/reagecon-sodium-hydroxide-0-01m-0-01n-analytical-s20015?returnurl=%2favl_sodiumhydroxide%2f,0.01M (0.01N),5.05
REPET026,0.03,Reagecon Pesticide Standard (4 Compound Mix) in Methanol,1ml,"€ 65,28",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-4-compound-mix-in-repet026?returnurl=%2fpesticide_multicompound%2f,100 µg/ml of each Compound,0.03
S10001,1.16,Reagecon Sodium Hydroxide 10M (10N) Analytical Volumetric Solution (AVL),1L,"€ 264,37",https://www.reagecon.com/avl_sodiumhydroxide/reagecon-sodium-hydroxide-10m-10n-analytical-s10001?returnurl=%2favl_sodiumhydroxide%2f,10M (10N),1.16
S20021,1.16,Reagecon Sodium Hydroxide 0.02M (0.02N) Analytical Volumetric Solution (AVL),1L,"€ 14,06",https://www.reagecon.com/avl_sodiumhydroxide/reagecon-sodium-hydroxide-0-02m-0-02n-analytical-s20021?returnurl=%2favl_sodiumhydroxide%2f,0.02M (0.02N),1.16
S20011,1.16,Reagecon Sodium Hydroxide 0.01M (0.01N) Analytical Volumetric Solution (AVL),1L,"€ 30,21",https://www.reagecon.com/avl_sodiumhydroxide/reagecon-sodium-hydroxide-0-01m-0-01n-analytical-s20011?returnurl=%2favl_sodiumhydroxide%2f,0.01M (0.01N),1.16
REPET018,0.03,Reagecon Pesticide Standard (8 Compound Mix) in Cyclohexane,1ml,"€ 110,48",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-8-compound-mix-in-repet018?returnurl=%2fpesticide_multicompound%2f,100 µg/ml of each Compound,0.03
REPET024,1ml,Reagecon Pesticide Standard (18 Compound Mix) in Methanol,1ml,"€ 269,90",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-18-compound-mix-in-repet024?returnurl=%2fpesticide_multicompound%2f,100 µg/ml of each Compound,0.03
REPET017,0.03,Reagecon Pesticide Standard (6 Compound Mix) in Acetonitrile:Acetone,1ml,"€ 82,11",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-6-compound-mix-in-repet017?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET016,0.03,Reagecon Pesticide Standard (6 Compound Mix) in Methanol,1ml,"€ 82,11",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-6-compound-mix-in-repet016?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET014,0.03,Reagecon Pesticide Standard (7 Compound Mix) in Acetone,1ml,"€ 82,11",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-7-compound-mix-in-repet014?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET015,0.03,Reagecon Pesticide Standard (5 Compound Mix) in Methanol,1ml,"€ 59,66",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-5-compound-mix-in-repet015?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET012,0.03,Reagecon Pesticide Standard (14 Compound Mix) in Acetone,1ml,"€ 392,94",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-14-compound-mix-in-repet012?returnurl=%2fpesticide_multicompound%2f,100 µg/ml of each Compound,0.03
REPET013,0.03,Reagecon Pesticide Standard (2 Compound Mix) in Acetonitrile:Acetone,1ml,"€ 38,54",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-2-compound-mix-in-repet013?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET010,0.03,Reagecon Pesticide Standard (18 CompoundMix) in Toluene:Hexane,1ml,"€ 82,11",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-18-compoundmix-in-repet010?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET009,0.03,Reagecon Pesticide Standard (18 Compound Mix) in Benzene,1ml,"€ 82,11",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-18-compound-mix-in-repet009?returnurl=%2fpesticide_multicompound%2f,2000 µg/ml of each Compound,0.03
REPET011,0.03,Reagecon Pesticide Standard (3 Compound Mix) in Hexane,1ml,"€ 38,58",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-3-compound-mix-in-repet011?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET007,0.03,Reagecon Pesticide Standard (16 Compound Mix) in Ethyl Acetate,1ml,"€ 77,19",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-16-compound-mix-in-repet007?returnurl=%2fpesticide_multicompound%2f,500 µg/ml of each Compound,0.03
REPET008,0.03,Reagecon Pesticide Standard (16 Compound Mix) in Methanol,1ml,"€ 46,60",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-16-compound-mix-in-repet008?returnurl=%2fpesticide_multicompound%2f,Mixed Concentrations,0.03
REPET005,0.03,Reagecon Pesticide Standard (12 Compound Mix) in Methyl-tert Butyl Ether,1ml,"€ 77,19",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-12-compound-mix-in-repet005?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET006,0.03,Reagecon Pesticide Standard (20 Compound Mix) in Ethyl Acetate,1ml,"€ 82,11",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-20-compound-mix-in-repet006?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET004,0.03,Reagecon Pesticide Standard (18 Compound Mix) in Methyl-tert Butyl Ether,1ml,"€ 77,19",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-18-compound-mix-in-repet004?returnurl=%2fpesticide_multicompound%2f,Mixed Concentrations,0.03
REPET003,0.03,Reagecon Pesticide Standard (18 Compound Mix) in Methyl-tert Butyl Ether,1ml,"€ 93,71",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-18-compound-mix-in-repet003?returnurl=%2fpesticide_multicompound%2f,1000 µg/ml of each Compound,0.03
REPET002,0.03,Reagecon Pesticide Standard (16 Compound Mix) in Acetone,1ml,"€ 58,01",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-16-compound-mix-in-repet002?returnurl=%2fpesticide_multicompound%2f,Mixed Concentrations,0.03
34811-1L,34811-1L,Hydranal Titrant 2 Reagent for Volumetric Two-Component Karl Fischer Titration,1L,"€ 74,06",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-titrant-2-reagent-for-volumetric-two-34811--1l?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,≥99.5%,1
REPET001,0.03,Reagecon Pesticide Standard (16 Compound Mix) in Acetone,1ml,"€ 77,19",https://www.reagecon.com/pesticide_multicompound/reagecon-pesticide-standard-16-compound-mix-in-repet001?returnurl=%2fpesticide_multicompound%2f,Mixed Concentrations,0.03
34811-500ML,34811-500ML,Hydranal Titrant 2 Reagent for Volumetric Two-Component Karl Fischer Titration,500ml,"€ 44,52",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-titrant-2-reagent-for-volumetric-two-34811--500ml?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,≥99.8%,0.85
34801-500ml,0.88,Hydranal Titrant 5 Reagent for Volumetric Two-Component Karl Fischer Titration,500ml,"€ 44,52",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-titrant-5-reagent-for-volumetric-two-34801--500ml?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,34801-500ML,0.88
34801-6X500ML,5,Hydranal-Titrant 5 Reagent for Volumetric Two-Component Karl Fischer Titration,6x500ml,"€ 231,69",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-titrant-5-reagent-for-volumetric-two-34801--6x500ml?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,34801-6X500ML,5
34801,1,Hydranal Titrant 5 Reagent for Volumetric Two-Component Karl Fischer Titration,1L,"€ 89,59",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-titrant-5-reagent-for-volumetric-two-34801?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,34801-1L,1
34800-2.5L,3,Hydranal Solvent Reagent for Volumetric Two-Component KF Titration (Working Medium),2.5L,"€ 146,61",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-solvent-reagent-for-volumetric-two-34800--2.5l?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,34800-2.5L,3
34800-1L,1,Hydranal Solvent Reagent for Volumetric Two-Component KF Titration (Working Medium),1L,"€ 71,06",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-solvent-reagent-for-volumetric-two-34800--1l?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,34800-1L,1
34730-500ML-R,0.90,Hydranal Solvent E Reagent for Volumetric Two-Component KF Titration (Ethanol-Based Working Medium),500ml,"€ 43,13",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-solvent-e-reagent-for-volumetric-two-34730--500ml--r?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,34730-500ML,0.90
REA1268,0.03,Reagecon Arocolor (1268) Single Compound Standard 200 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1268-single-compound-standard-rea1268?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
34730-1L-R,1,Hydranal Solvent E Reagent for Volumetric Two-Component KF Titration (Ethanol-Based Working Medium),1L,"€ 71,06",https://www.reagecon.com/kf_volumetry/twocomponent_volumetry/hydranal-solvent-e-reagent-for-volumetric-two-34730--1l--r?returnurl=%2fkf_volumetry%2ftwocomponent_volumetry%2f,34730-1L,1
REA1262-H,0.03,Reagecon Arocolor (1262) Single Compound Standard 1000 µg/ml in Hexane,1ml,"€ 37,54",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1262-single-compound-standard-rea1262--h?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,1000 µg/ml,0.03
REA1262,0.03,Reagecon Arocolor (1262) Single Compound Standard 200 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1262-single-compound-standard-rea1262?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1260-H,0.03,Reagecon Arocolor (1260) Single Compound Standard 1000 µg/ml in Hexane,1ml,"€ 37,54",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1260-single-compound-standard-rea1260--h?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,1000 µg/ml,0.03
REA1260-I,0.03,Reagecon Arocolor (1260) Single Compound Standard 200 µg/ml in Isooctane,1ml,"€ 49,46",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1260-single-compound-standard-rea1260--i?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1254-I,0.03,Reagecon Arocolor (1254) Single Compound Standard 200 µg/ml in Isooctane,1ml,"€ 49,46",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1254-single-compound-standard-rea1254--i?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1260,0.03,Reagecon Arocolor (1260) Single Compound Standard 200 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1260-single-compound-standard-rea1260?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1254,0.03,Reagecon Arocolor (1254) Single Compound Standard 200 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1254-single-compound-standard-rea1254?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1248,0.03,Reagecon Arocolor (1248) Single Compound Standard 200 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1248-single-compound-standard-rea1248?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1254-H,0.03,Reagecon Arocolor (1254) Single Compound Standard 1000 µg/ml in Hexane,1ml,"€ 37,54",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1254-single-compound-standard-rea1254--h?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,1000 µg/ml,0.03
REA1242-I,0.03,Reagecon Arocolor (1242) Single Compound Standard 200 µg/ml in Isooctane,1ml,"€ 49,46",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1242-single-compound-standard-rea1242--i?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1242,0.03,Reagecon Arocolor (1242) Single Compound Standard 200 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1242-single-compound-standard-rea1242?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1232-H,0.03,Reagecon Arocolor (1232) Single Compound Standard 1000 µg/ml in Hexane,1ml,"€ 37,54",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1232-single-compound-standard-rea1232--h?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,1000 µg/ml,0.03
REA1248-H,0.03,Reagecon Arocolor (1248) Single Compound Standard 1000 µg/ml in Hexane,1ml,"€ 37,54",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1248-single-compound-standard-rea1248--h?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,1000 µg/ml,0.03
REA1242-H,0.03,Reagecon Arocolor (1242) Single Compound Standard 1000 µg/ml in Hexane,1ml,"€ 37,54",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1242-single-compound-standard-rea1242--h?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,1000 µg/ml,0.03
REA1221-H,0.03,Reagecon Arocolor (1221) Single Compound Standard 1000 µg/ml in Hexane,1ml,"€ 37,54",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1221-single-compound-standard-rea1221--h?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,1000 µg/ml,0.03
9801255,0.41,Precision refractometers; basic model; Type RBB/ATC; For Wine; Measuring range 0 - 25% Vol 0 - 22° Be' 0 - 40% Brix; Accuracy 0.2% Vol 0.2° Be' 0.2% Brix,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rbb-atc-9801255?returnurl=%2fhand-held-refractometers%2f,SAL2540-BE,0.41
REA1232,0.03,Reagecon Arocolor (1232) Single Compound Standard 200 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1232-single-compound-standard-rea1232?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
REA1016-H,0.03,Reagecon Arocolor (1016) Single Compound Standard 1000 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1016-single-compound-standard-rea1016--h?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,1000 µg/ml,0.03
9801253,0.36,Precision refractometers; basic model; Type RMB/ATC; For Wine; Measuring range 0 - 25% Vol 0 - 20° Be'; Accuracy 0.2% Vol 0.2° Be',ea,"€ 65,25",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rmb-atc-9801253?returnurl=%2fhand-held-refractometers%2f,K 71908,0.36
REA1221,0.03,Reagecon Arocolor (1221) Single Compound Standard 200 µg/ml in Hexane,1ml,"€ 41,68",https://www.reagecon.com/pcbspolychlorinatedbiphenyl/reagecon-arocolor-1221-single-compound-standard-rea1221?returnurl=%2fpcbspolychlorinatedbiphenyl%2f,200 µg/ml,0.03
9801254,0.36,Precision refractometers; basic model; Type RBO/ATC; For Wine; Measuring range 0 - 140° Oe 0 - 25° Babo 0 - 32% Brix; Accuracy 1° Oe 0.2° Babo 0.2% Brix,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rbo-atc-9801254?returnurl=%2fhand-held-refractometers%2f,RHB-32S,0.36
9801252,0.42,Precision refractometers; basic model; Type RMA/ATC; For Wine; Measuring range 0 - 25% Vol 0 - 40% Brix; Accuracy 0.2% Vol 0.2% Brix,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rma-atc-9801252?returnurl=%2fhand-held-refractometers%2f,SAL2540,0.42
9801251,0.40,Precision refractometers; basic model; Type RPC/ATC; For Freezing point batteries; Measuring range -50 - 0°C 1.10 - 1.40; Accuracy 5°C 0.1,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rpc-atc-9801251?returnurl=%2fhand-held-refractometers%2f,SBC-1,0.40
9801250,0.37,Precision refractometers; basic model; Type RCS/ATC; For Salinity; Measuring range 0 - 28%; Accuracy 0.2%,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rcs-atc-9801250?returnurl=%2fhand-held-refractometers%2f,SSA0028,0.37
9801249,0.43,Precision refractometers; basic model; Type RSM/ATC; For Salinity; Measuring range 0 - 1000 ; Accuracy 10,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rsm-atc-9801249?returnurl=%2fhand-held-refractometers%2f,SSA0010,0.43
9801246,0.69,Precision refractometers; basic model; Type RPU; For ; Measuring range 0 - 80% Brix; Accuracy 1%,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rpu-for-9801246?returnurl=%2fhand-held-refractometers%2f,SBR0080,0.69
9801247,0.41,Precision refractometers; basic model; Type RMM/ATC; For Honey and jam; Measuring range 58 - 90% Brix 38 - 43° Be' 17 - 27 water; Accuracy 0.5% Brix 0.5° Be' 1% water,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rmm-atc-9801247?returnurl=%2fhand-held-refractometers%2f,HHN5890,0.41
9801245,0.42,Precision refractometers; basic model; Type RPD/ATC; For ; Measuring range 45 - 82% Brix; Accuracy 0.5%,ea,"€ 71,48",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rpd-atc-9801245?returnurl=%2fhand-held-refractometers%2f,K 71314,0.42
9801244,0.41,Precision refractometers; basic model; Type RFC/ATC; For ; Measuring range 28 - 62% Brix; Accuracy 0.2%,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rfc-atc-9801244?returnurl=%2fhand-held-refractometers%2f,SBR2862,0.41
9801241,0.42,Precision refractometers; basic model; Type RBC/ATC; For ; Measuring range 0 - 10% Brix; Accuracy 0.1%,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rbc-atc-9801241?returnurl=%2fhand-held-refractometers%2f,SBR0010,0.42
9801242,0.37,Precision refractometers; basic model; Type RLC/ATC; For ; Measuring range 0 - 18% Brix; Accuracy 0.1%,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rlc-atc-9801242?returnurl=%2fhand-held-refractometers%2f,SBC0018,0.37
9801201,0.96,Precision refractometers; basic model; Type RTS; For ; Measuring range 0 - 90% Brix; Accuracy 0.2%,ea,"€ 309,72",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rts-for-9801201?returnurl=%2fhand-held-refractometers%2f,K71316,0.96
6263631,0.27,Digital Hand Held Refractometer LLG uniREFRACTO 1,ea,"€ 330,17",https://www.reagecon.com/hand-held-refractometers/digital-hand-held-refractometer-llg-unirefracto-1-6263631?returnurl=%2fhand-held-refractometers%2f,6263631,0.27
9801202,0.34,Precision refractometers; basic model; Type RPI/ATC; For Biological fluids: urine; serum; Measuring range 0 - 12 g/dl 1000 - 1050 sg 1.3330 - 1.3600 nD; Accuracy 0.2 g/dl 0.002 sg 0.00025 nD,ea,"€ 71,48",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rpi-atc-9801202?returnurl=%2fhand-held-refractometers%2f,K71903,0.34
9801200,0.34,Precision refractometers; basic model; Type RCZ/ATC; For ; Measuring range 0 - 32% Brix; Accuracy 0.2%,ea,"€ 28,78",https://www.reagecon.com/hand-held-refractometers/precision-refractometers-basic-model-type-rcz-atc-9801200?returnurl=%2fhand-held-refractometers%2f,SBR0032,0.34
6263630,0.27,Digital Hand Held Refractometer LLG uniREFRACTO 2,ea,"€ 194,22",https://www.reagecon.com/hand-held-refractometers/digital-hand-held-refractometer-llg-unirefracto-2-6263630?returnurl=%2fhand-held-refractometers%2f,6263630,0.27
6231591,0.29,Digital Hand-held Pocket Refractometer PAL series; Type PAL-BX/RI; Measuring range 0.0 - 93.0 Brix; 1.3306 - 1.5284nD; Temp. range Brix: 10 - 100; nD: 5 - 45 °C,ea,"€ 877,69",https://www.reagecon.com/hand-held-refractometers/digital-hand-held-pocket-refractometer-pal-series-6231591?returnurl=%2fhand-held-refractometers%2f,3852,0.29
6231283,0.10,Overall accessories for IKA magnetic stirrers; Type PT 1000.70; For model RCT basic; Description Temperature sensor; glass-coated,ea,"€ 149,90",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/overall-accessories-for-ika-magnetic-stirrers-type-6231283?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,0003736000,0.10
6230916,0.07,Stirrers with PTFE blade and journal; Description KPG-stirrer with PTFE stirring blade NS 45/40; for flask 2000 ml,ea,"€ 64,61",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/stirrers-with-ptfe-blade-and-journal-description-6230916?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,6.3150.08,0.07
6230623,0.06,Stirrers with PTFE blade and journal; Description KPG Stirrers with lateral blade NS 29/32; for flasks 2000/3000 ml,ea,"€ 66,72",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/stirrers-with-ptfe-blade-and-journal-description-6230623?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,6.3070.07,0.06
6230424,0.09,Stirrers with PTFE blade and journal; Description KPG-stirrer with PTFE stirring blade NS 45/40; for flask 4000 ml,ea,"€ 65,55",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/stirrers-with-ptfe-blade-and-journal-description-6230424?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,6.3150.11,0.09
6229702,0.03,Overall accessories for IKA magnetic stirrers; Type PT 1000.60; For model RCT basic; Description Temperature sensor,ea,"€ 135,95",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/overall-accessories-for-ika-magnetic-stirrers-type-6229702?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,0003516800,0.03
6229903,0.27,Accessories for shakers and mixers; Type Test tube stand for up to 6 Eppendorf vessels (1.5ml); Class A,ea,"€ 36,65",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/accessories-for-shakers-and-mixers-type-test-tube-6229903?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,549-04000-00,0.27
6228246,0.13,Accessories for Shaker VXR basic Vibrax® Type VX 11.3; Diam. of holes 16 mm; No.of  holes 32,ea,"€ 119,69",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/accessories-for-shaker-vxr-basic-vibrax-type-vx-11-6228246?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,0003659200,0.13
6229275,0.17,Additional Stirrer Blades for Bola Stirrer Shafts; PTFE; Description Blade; Shaft diam. 10 mm; Length 20 mm; Paddle diam. 110 mm,ea,"€ 57,19",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/additional-stirrer-blades-for-bola-stirrer-shafts-6229275?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,C  446-12,0.17
6228500,6.60,Accessories for Overhead Stirrers; Type Base Stand S2 XXL,ea,"€ 294,67",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/accessories-for-overhead-stirrers-type-base-stand-6228500?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,570-12200-00,6.60
6224280,0.06,Stirrers with PTFE blade and journal; Description KPG Stirrers with lateral blade NS 29/32; for flasks 250/500 ml,ea,"€ 65,45",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/stirrers-with-ptfe-blade-and-journal-description-6224280?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,6.3070.03,0.06
6226736,0.08,Overall accessories for IKA magnetic stirrers; Type H 100; For model RCT basic; RET basic; Description Protective cover,ea,"€ 18,59",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/overall-accessories-for-ika-magnetic-stirrers-type-6226736?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,0003661000,0.08
6227094,0.23,Dimpled mat; 300x300mm for holding tubes,ea,"€ 33,81",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/dimpled-mat-300x300mm-for-holding-tubes-6227094?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,S1000-M,0.23
6210083,0.02,Stirrers with PTFE blade and journal; Description PTFE Security Screw,ea,"€ 11,02",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/stirrers-with-ptfe-blade-and-journal-description-6210083?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,6.3074.00,0.02
6227093,8.96,GyroTwister adjustable shaker with 30x30 cm non-slip platform 230 V; incl. EU & UK power cords,ea,"€ 1.051,15",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/gyrotwister-adjustable-shaker-with-30x30-cm-non-6227093?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,S1000-A-B-230,8.96
6227770,0.52,Additional Stirrer Blades for Bola Stirrer Shafts; PTFE; Description Maxi propeller-three-bladed; Shaft diam. 16 mm; Length 26 mm; Paddle diam. 200 mm,ea,"€ 186,12",https://www.reagecon.com/consumablesequipment/stirring/shaking/mixing/additional-stirrer-blades-for-bola-stirrer-shafts-6227770?returnurl=%2fconsumablesequipment%2fstirring%2fshaking%2fmixing%2f,C  441-16,0.52
